round,fp32_exec_ms,fp32_gflops,fp32_bw_gbps,fp32_mem_mb,fp32_mse,fp32_maxerr,fp16_exec_ms,fp16_gflops,fp16_bw_gbps,fp16_mem_mb,fp16_mse,fp16_maxerr,fp16s_exec_ms,fp16s_gflops,fp16s_bw_gbps,fp16s_mem_mb,fp16s_mse,fp16s_maxerr,cb32_exec_ms,cb32_gflops,cb32_bw_gbps,cb32_mem_mb,cb32_mse,cb32_maxerr,cb16_exec_ms,cb16_gflops,cb16_bw_gbps,cb16_mem_mb,cb16_mse,cb16_maxerr,cbmx_exec_ms,cbmx_gflops,cbmx_bw_gbps,cbmx_mem_mb,cbmx_mse,cbmx_maxerr
1,0.9459,13.328563273073264,0.6598245057617085,0.53271484375,0,0,0.6508,19.372292562999384,0.4795082974800246,0.266357421875,0.0029984439767454154,0.2372463345527649,0.6582,19.154494074749316,0.5760194469766029,0.299072265625,0.000011303657676848984,0.012603759765625,0.33340000000000003,37.81490101979604,2.4617156568686265,0.53271484375,0,0,0.3802,33.16014729089952,1.079347711730668,0.266357421875,0.0022453733104521433,0.17228412628173828,0.6172000000000001,20.426908619572263,2.444692158133506,0.75146484375,0.00001055712915723993,0.012105464935302734
2,0.948,13.299037974683545,0.6583628691983122,0.53271484375,0,0,0.6653,18.950079663309783,0.4690575680144296,0.266357421875,0.002761212146458058,0.15421247482299805,1.1442,11.01860513896172,0.3313546582765251,0.299072265625,0.00001288097928040026,0.015934467315673828,0.4446,28.35692307692308,1.8460098965362124,0.53271484375,0,0,0.4023000000000001,31.33852348993289,1.0200546855580412,0.266357421875,0.0025249627448938874,0.1976377964019775,0.4991,25.26044480064115,3.0231697054698454,0.75146484375,0.000012515818705453906,0.014527440071105955
3,0.9301,13.554981184818836,0.6710332222341684,0.53271484375,0,0,0.6671,18.898947684005396,0.4677919352420926,0.266357421875,0.0032771785967335484,0.20786380767822263,1.7151,7.350876333741473,0.2210576642761355,0.299072265625,0.000012715112743399307,0.014170408248901367,0.3711,33.97329021827001,2.211630288331986,0.53271484375,0,0,0.5313,23.729508752117447,0.7723847167325428,0.266357421875,0.002642530276742866,0.1649610996246338,0.8294,15.200733060043405,1.819223535085604,0.75146484375,0.000011631004985565355,0.013097763061523438
4,1.0372,12.15531045121481,0.6017431546471269,0.53271484375,0,0,0.6668000000000001,18.90745050989802,0.468002399520096,0.266357421875,0.002576389416430484,0.17718806862831116,1.4678,8.589377299359585,0.25830222101103695,0.299072265625,0.00001196929597535718,0.013237714767456056,0.3611,34.9141179728607,2.2728773193021325,0.53271484375,0,0,0.4402,28.640363471149477,0.9322308041799182,0.266357421875,0.002145431710769407,0.15532922744750977,0.4824,26.13492537313433,3.127827529021559,0.75146484375,0.000010820761970862337,0.011147022247314451
5,0.9289,13.572492195069437,0.6719000968887932,0.53271484375,0,0,1.0382,12.14360238874976,0.30058177615103066,0.266357421875,0.002597664977286072,0.17805004119873047,1.5328,8.225135699373695,0.24734864300626305,0.299072265625,0.00001244595973713626,0.012793779373168944,0.3902,32.310322911327525,2.10337262942081,0.53271484375,0,0,0.3978,31.693031674208143,1.0315937657114127,0.266357421875,0.00220841389303884,0.18736696243286133,0.6532,19.301114513165953,2.309957134109002,0.75146484375,0.000012560702229787206,0.012520313262939451
6,0.953,13.229263378803775,0.6549087093389298,0.53271484375,0,0,0.834,15.116892086330935,0.3741774580335731,0.266357421875,0.002600328670150513,0.19627141952514648,0.6835,18.445483540599852,0.5546978785662033,0.299072265625,0.000012042767766781037,0.01288437843322754,0.3597,35.05000834028357,2.2817236586043927,0.53271484375,0,0,0.3643,34.60743343398298,1.126456217403239,0.266357421875,0.002354483912064841,0.1843557357788086,0.5373,23.464522613065327,2.8082337613995905,0.75146484375,0.000011590535022257552,0.012220382690429688
7,1.4794,8.522027849128024,0.4218791401919697,0.53271484375,0,0,0.7542,16.716372315035798,0.4137682312383983,0.266357421875,0.002876380563323601,0.2217419147491455,0.6493,19.417046049591868,0.5839149853688588,0.299072265625,0.000013479440385234136,0.013331890106201172,0.3363,37.48881355932203,2.440487659827535,0.53271484375,0,0,0.3753,33.59309352517985,1.0934399147348788,0.266357421875,0.002404848277689902,0.18096351623535156,0.5546,22.73257843490804,2.720634691669672,0.75146484375,0.000012333949519228332,0.012220382690429688
8,1.0453,12.061119295895914,0.5970802640390318,0.53271484375,0,0,1.0737,11.742095557418272,0.290643568967123,0.266357421875,0.003266493447170511,0.20555853843688965,0.6463000000000001,19.507176233947085,0.5866254061581309,0.299072265625,0.0000142593687599901,0.014400005340576172,0.3341,37.73567195450464,2.45655791679138,0.53271484375,0,0,0.4029,31.29185405807893,1.018535616778357,0.266357421875,0.002283306363741366,0.20192861557006836,0.4829,26.107864982398013,3.1245889418098987,0.75146484375,0.000012929954660616466,0.011799812316894531
9,0.9871,12.772250025326713,0.6322844696585959,0.53271484375,0,0,1.5207,8.290581968830145,0.20521075820345897,0.266357421875,0.003407083470699677,0.2345418930053711,0.6552,19.2421978021978,0.5786568986568986,0.299072265625,0.000012164107195336863,0.015403270721435549,0.3588,35.137926421404686,2.2874470457079155,0.53271484375,0,0,0.3705,34.02830769230769,1.1076059379217271,0.266357421875,0.0019969338872897592,0.15561234951019287,0.5214,24.180069044879172,2.8938703490602227,0.75146484375,0.000011784369983149892,0.01256108283996582
10,1.0932,11.53264544456641,0.570918404683498,0.53271484375,0,0,1.3119,9.610098330665448,0.23787178900830855,0.266357421875,0.0028834258096398,0.16616296768188477,0.6642,18.981463414634145,0.5708160192713039,0.299072265625,0.000013310697098389666,0.013569355010986328,0.3567,35.34479394449117,2.300913933277264,0.53271484375,0,0,0.35579999999999995,35.43419898819562,1.1533670601461494,0.266357421875,0.0019962010023719823,0.16836953163146973,0.6246,20.184899135446685,2.4157284662183796,0.75146484375,0.000012626728275419745,0.011862516403198242
11,0.9373,13.450856716099434,0.6658785874319855,0.53271484375,0,0,0.7342,17.17173522201035,0.425039498774176,0.266357421875,0.003062692604647349,0.24698734283447263,0.6652,18.95292844257366,0.5699579073962718,0.299072265625,0.000012143131895169966,0.014016151428222656,0.3759,33.539473264166,2.183389199255121,0.53271484375,0,0,0.394,31.998700507614213,1.0415431472081218,0.266357421875,0.0023963599714999784,0.20090341567993164,0.5651,22.310189347018227,2.670083171120156,0.75146484375,0.00001210008271390606,0.01715564727783203
12,1.7596999999999998,7.164566687503552,0.35467863840427344,0.53271484375,0,0,0.6811999999999999,18.507762771579564,0.45810921902524954,0.266357421875,0.002223358856627394,0.16750526428222656,0.7557,16.68319174275506,0.5017017334921265,0.299072265625,0.000014757337930577951,0.01445150375366211,0.3648,34.56,2.249824561403509,0.53271484375,0,0,0.35169999999999996,35.847278930907024,1.166812624395792,0.266357421875,0.001656318824082926,0.1545860767364502,0.5212,24.18934765924789,2.8949808135072908,0.75146484375,0.00001323355465254339,0.012464523315429688
