round,fp32_exec_ms,fp32_gflops,fp32_bw_gbps,fp32_mem_mb,fp32_mse,fp32_maxerr,fp16_exec_ms,fp16_gflops,fp16_bw_gbps,fp16_mem_mb,fp16_mse,fp16_maxerr,fp16s_exec_ms,fp16s_gflops,fp16s_bw_gbps,fp16s_mem_mb,fp16s_mse,fp16s_maxerr,cb32_exec_ms,cb32_gflops,cb32_bw_gbps,cb32_mem_mb,cb32_mse,cb32_maxerr,cb16_exec_ms,cb16_gflops,cb16_bw_gbps,cb16_mem_mb,cb16_mse,cb16_maxerr,cbmx_exec_ms,cbmx_gflops,cbmx_bw_gbps,cbmx_mem_mb,cbmx_mse,cbmx_maxerr
1,15.6048,12.907880652107044,0.46236440069722134,6.630859375,0,0,17.3382,11.617405266982733,0.20806958046394664,3.3154296875,0.20875677614036825,1.6375036239624023,17.1798,11.724519260992562,0.225604488992887,3.4462890625,0.0003085119701324796,0.08467483520507813,0.4871,413.5185711352905,16.426885649763907,6.630859375,0,0,0.6389,315.26826733448115,6.261962748473939,3.3154296875,0.028499800657799557,0.6361675262451172,0.6813,295.64787318361954,26.1733979157493,9.755859375,0.0003184151205911281,0.08048629760742188
2,15.3339,13.135920802926847,0.47053287161126656,6.630859375,0,0,16.308300000000003,12.35106638950718,0.22120956813401765,3.3154296875,0.22239296950867324,1.5366935729980469,17.5099,11.503486370567508,0.221351349807823,3.4462890625,0.0003253897269693027,0.0919647216796875,0.4848,415.480396039604,16.504818481848186,6.630859375,0,0,0.6273,321.0981922525108,6.377758648174717,3.3154296875,0.0386338634864434,0.9606056213378906,0.6603,305.0505770104498,27.00580948053915,9.755859375,0.00031706311596901,0.091094970703125
3,17.975,11.205835660639778,0.4013966063977747,6.630859375,0,0,15.7044,12.826016657751968,0.22971600315835053,3.3154296875,0.20904017385284288,1.5848445892333984,18.9306,10.640174954835029,0.2047394166059185,3.4462890625,0.00032326286634070474,0.081024169921875,0.5024,400.9253503184714,15.92662420382166,6.630859375,0,0,0.6788000000000001,296.736735415439,5.89388332351208,3.3154296875,0.03503588821694559,0.7157363891601563,0.6024999999999999,334.3151800829875,29.59657427385892,9.755859375,0.0003348010859951249,0.08057785034179688
4,16.820600000000002,11.974893642319536,0.4289445085193156,6.630859375,0,0,17.4255,11.559203236635964,0.20702717282143984,3.3154296875,0.19721282134286075,1.457916259765625,16.548099999999998,12.172085979659297,0.2342166170134336,3.4462890625,0.0003260142681054418,0.10461044311523438,0.5061,397.9942620035566,15.810187709938749,6.630859375,0,0,0.579,347.884103626943,6.909789291882556,3.3154296875,0.036847784076259035,0.6680679321289063,0.636,316.7058113207547,28.037635220125782,9.755859375,0.0003236558646054407,0.08268356323242188
5,16.968400000000003,11.870588623559089,0.4252082694891681,6.630859375,0,0,16.890800000000002,11.925124683259526,0.2135808842683591,3.3154296875,0.18841148278864656,1.5273432731628418,17.4946,11.51354680872955,0.22154493386530705,3.4462890625,0.0003378901099628832,0.08612060546875,0.5955,338.2449974811083,13.436668345927792,6.630859375,0,0,0.5664,355.62305084745765,7.063502824858757,3.3154296875,0.03548432803987207,0.8594474792480469,0.6920000000000001,291.0764393063584,25.768693641618498,9.755859375,0.0003385098746179376,0.08121490478515625
6,15.990999999999998,12.596141329497843,0.4511977987618035,6.630859375,0,0,16.2438,12.400109334022828,0.22208793508908015,3.3154296875,0.20189804205926065,1.6116905212402344,19.2389,10.469668016362682,0.20145850334478585,3.4462890625,0.00032288312302346543,0.09642791748046876,0.4177,482.22383528848457,19.15617907589179,6.630859375,0,0,0.5361,375.72261891438166,7.462727103152397,3.3154296875,0.0334274941071683,0.7564582824707031,0.8698999999999999,231.54948384871824,20.49883434877572,9.755859375,0.0003244434029158263,0.091400146484375
7,21.4039,9.41066329033494,0.33709295969426134,6.630859375,0,0,19.674,10.23812625800549,0.1833664735183491,3.3154296875,0.23539092395118508,1.7318954467773438,18.8123,10.70708504542241,0.20602690792726036,3.4462890625,0.0003028828913156259,0.07698822021484375,0.4491,448.5078957915832,17.816824760632375,6.630859375,0,0,0.5838,345.023802672148,6.852977046933882,3.3154296875,0.027968739386505716,0.6441993713378906,0.5879,342.6176152406872,30.33158020071441,9.755859375,0.00030913533136550474,0.07406044006347656
8,17.7374,11.355942584595262,0.4067734842761622,6.630859375,0,0,17.5475,11.478837213278243,0.20558780453055991,3.3154296875,0.25433329688763207,1.6914749145507813,16.9419,11.889156233952509,0.22877245173209615,3.4462890625,0.0003307164954038298,0.08112716674804688,0.41,491.28023414634146,19.51594146341463,6.630859375,0,0,0.6021000000000001,334.5372795216741,6.644690250788906,3.3154296875,0.03924817461505421,0.8026924133300781,0.6641,303.30506851377805,26.85128143351905,9.755859375,0.00032055973035309353,0.07355499267578125
9,16.9675,11.871218270222483,0.4252308236334168,6.630859375,0,0,16.2185,12.419452847057372,0.22243438049141412,3.3154296875,0.1844152678543801,1.7345218658447266,17.006899999999998,11.843716138743686,0.2278980884229342,3.4462890625,0.0003229813280348077,0.08541488647460938,0.5720000000000001,352.1414265734266,13.9886993006993,6.630859375,0,0,0.566,355.8743745583039,7.068494699646643,3.3154296875,0.032837712594768316,0.8358955383300781,0.6061000000000001,332.329476983996,29.420782049166803,9.755859375,0.00031795158270899826,0.08176803588867188
10,17.2556,11.673016064350124,0.41813115742135887,6.630859375,0,0,18.1706,11.085208853862833,0.19853785785829856,3.3154296875,0.2550555417280316,2.4096603393554688,15.8944,12.67269579222871,0.24384940608012884,3.4462890625,0.00032038868421005093,0.0880889892578125,0.5754,350.0606465067779,13.906041014946124,6.630859375,0,0,0.5572,361.4947882268485,7.180129217516153,3.3154296875,0.03361012297807918,0.784698486328125,0.5925,339.95763037974683,30.096094514767938,9.755859375,0.0003130324187031376,0.07512664794921875
11,16.1692,12.457319842663829,0.446225168839522,6.630859375,0,0,16.2748,12.37648978789294,0.2216649052522919,3.3154296875,0.18751410107743757,1.4564666748046875,17.238400000000002,11.68466307777984,0.22483757193242992,3.4462890625,0.0002938518042315219,0.08268356323242188,0.4239,475.1707855626327,18.87599905638122,6.630859375,0,0,0.5788,348.0043123704216,6.912176917760885,3.3154296875,0.03505649036167764,1.0132408142089844,0.7892,255.22668018246324,22.59495184997466,9.755859375,0.00031103339571945466,0.07755661010742188
12,21.1502,9.523545687511229,0.34113644315420183,6.630859375,0,0,17.528100000000002,11.491541924110429,0.20581534792704287,3.3154296875,0.19221062048099297,1.4091300964355469,17.5152,11.500005480953686,0.22128437014707225,3.4462890625,0.000325436829617764,0.08437728881835938,0.422,477.31018009478674,18.960985781990523,6.630859375,0,0,0.5694,353.7493782929399,7.02628731998595,3.3154296875,0.03162817680995293,0.6691856384277344,0.5939,339.156248526688,30.025149014985686,9.755859375,0.00032055273758948487,0.08382415771484375
13,16.082900000000002,12.524165169216994,0.4486195897506047,6.630859375,0,0,16.866699999999998,11.94216390876698,0.21388605951371636,3.3154296875,0.23867225753806973,1.8644189834594729,15.8382,12.717663370837595,0.2447146771729111,3.4462890625,0.0003151004894071831,0.07587432861328125,0.4379,459.97920986526606,18.27251883991779,6.630859375,0,0,0.5783,348.3051979941207,6.918153207677676,3.3154296875,0.036570731456150835,0.8466911315917969,0.7579,265.7671143950389,23.528085499406256,9.755859375,0.0003270741476565284,0.07596015930175781
14,19.7055,10.221760219228134,0.3661467103093045,6.630859375,0,0,17.2671,11.665241760341925,0.20892633968645577,3.3154296875,0.247889386466192,1.84820556640625,16.4865,12.217565644618322,0.23509174172808053,3.4462890625,0.00031876259877703083,0.08304977416992188,0.5838,345.023802672148,13.705954093867764,6.630859375,0,0,0.6367,316.3576189728287,6.283599811528192,3.3154296875,0.030894942381941536,0.8119134902954102,0.7604000000000001,264.8933403471857,23.450731194108364,9.755859375,0.00032233891392296083,0.07486724853515625
