round,fp32_exec_ms,fp32_gflops,fp32_bw_gbps,fp32_mem_mb,fp32_mse,fp32_maxerr,fp16_exec_ms,fp16_gflops,fp16_bw_gbps,fp16_mem_mb,fp16_mse,fp16_maxerr,fp16s_exec_ms,fp16s_gflops,fp16s_bw_gbps,fp16s_mem_mb,fp16s_mse,fp16s_maxerr,cb32_exec_ms,cb32_gflops,cb32_bw_gbps,cb32_mem_mb,cb32_mse,cb32_maxerr,cb16_exec_ms,cb16_gflops,cb16_bw_gbps,cb16_mem_mb,cb16_mse,cb16_maxerr,cbmx_exec_ms,cbmx_gflops,cbmx_bw_gbps,cbmx_mem_mb,cbmx_mse,cbmx_maxerr
70,3.6246,13.899685482536004,0.5613551840203057,1.8154296875,0,0,3.0123,16.725027387710387,0.3377299737741925,0.90771484375,0.02501123266731265,0.5628910064697266,3.8744,13.003510220937436,0.29720421226512495,0.97314453125,0.00006378906148012792,0.03629302978515625,0.4747,106.13187276174426,5.114607120286497,1.8154296875,0,0,0.4822,104.48112816258812,2.5175279966818747,0.90771484375,0.00788995974357776,0.3667888641357422,0.5641,89.3118241446552,8.834972522602376,2.6279296875,0.00004622474835355421,0.02936553955078125
71,4.052700000000001,12.431416092975054,0.502057393836208,1.8154296875,0,0,2.9536,17.05742145178765,0.344442036836403,0.90771484375,0.02170824664531344,0.5123701095581055,2.9135,17.29219152222413,0.3952249871288828,0.97314453125,0.000059064499784212824,0.03473091125488281,0.3775,133.4590728476821,6.4315337748344374,1.8154296875,0,0,0.4865,103.55765673175743,2.4952764645426515,0.90771484375,0.007380999358104661,0.34504032135009766,0.5479,91.95254608505202,9.096200036503012,2.6279296875,0.00004593382256273487,0.02816200256347656
72,4.0102,12.563163931973468,0.507378185626652,1.8154296875,0,0,2.9642,16.99642399298293,0.34321030969570204,0.90771484375,0.02466548299533202,0.56561279296875,2.9841,16.88308032572635,0.3858744680138065,0.97314453125,0.00005684738190468323,0.03176307678222656,0.3788,133.0010559662091,6.409461457233369,1.8154296875,0,0,0.4444,113.36813681368136,2.7316651665166516,0.90771484375,0.007095776207366977,0.3584175109863281,0.5527000000000001,91.15397141306316,9.01720282250769,2.6279296875,0.00004022386593680027,0.027271270751953125
73,4.1026,12.280212548140206,0.4959508604299713,1.8154296875,0,0,3.0177,16.69509891639328,0.33712562547635616,0.90771484375,0.02844473978058546,0.566009521484375,4.1387,12.173097832652765,0.2782245632686592,0.97314453125,0.00006078678850369789,0.03952789306640625,0.3635,138.59917469050893,6.679240715268225,1.8154296875,0,0,0.4029,125.04542069992554,3.013035492678084,0.90771484375,0.00782825198463057,0.3380622863769531,0.5303,95.00433716764095,9.398091646237978,2.6279296875,0.00004749239536321233,0.03311443328857422
74,3.985500000000001,12.6410237109522,0.5105226445866264,1.8154296875,0,0,4.4044,11.43874307510671,0.2309835618926528,0.90771484375,0.021545101343949737,0.5949544906616211,2.9,17.372689655172415,0.39706482758620687,0.97314453125,0.00005866602260924585,0.03636741638183594,0.3756,134.1341853035144,6.464068157614483,1.8154296875,0,0,0.4632,108.76683937823834,2.6207944732297066,0.90771484375,0.008795221131646453,0.37212085723876953,0.5992999999999999,84.06607708993826,8.316048723510763,2.6279296875,0.00004419598289846187,0.030185699462890625
75,3.2298,15.59873676388631,0.6299733729642703,1.8154296875,0,0,2.993,16.832876712328765,0.339907784831273,0.90771484375,0.02579750658399626,0.529621958732605,2.9837,16.885343700774207,0.38592619901464625,0.97314453125,0.00005440189516550892,0.039813995361328125,0.3799,132.61595156620163,6.390902869176099,1.8154296875,0,0,0.5274,95.52673492605231,2.301767159651119,0.90771484375,0.007053960014976988,0.3208332061767578,0.5611,89.78934236321511,8.88220994475138,2.6279296875,0.00004011933252550667,0.03193187713623047
76,3.7159,13.558168949648806,0.5475626362388654,1.8154296875,0,0,2.9779,16.918230968131905,0.3416313509520132,0.90771484375,0.024754379563791,0.598724365234375,2.9755,16.931876995462947,0.3869897496219123,0.97314453125,0.00005277152189378162,0.03020763397216797,0.3695,136.34857916102845,6.570782138024358,1.8154296875,0,0,0.4314,116.78442280945758,2.8139823829392676,0.90771484375,0.0059503613726302656,0.2996482849121094,0.5261,95.76278274092378,9.473119178863334,2.6279296875,0.00004251375478179943,0.030376434326171875
77,3.967,12.699974792034284,0.5129034534913033,1.8154296875,0,0,2.9484,17.087505087505086,0.3450495183828517,0.90771484375,0.027130346340267345,0.5855894088745117,2.9139,17.28981776999897,0.3951707333813789,0.97314453125,0.00006144456078147375,0.035686492919921875,0.5254,95.89036924248192,4.621058241339932,1.8154296875,0,0,0.4701,107.17038927887684,2.5823271644330994,0.90771484375,0.00988087525447539,0.4098670482635498,0.7054,71.42160476325489,7.065222568755316,2.6279296875,0.00004550861466880923,0.030042648315429688
78,4.7288,10.65403485027914,0.4302757570631026,1.8154296875,0,0,2.955,17.049340101522844,0.3442788494077834,0.90771484375,0.024504689885322676,0.6522417068481445,2.9611,17.01421768937219,0.3888717030833137,0.97314453125,0.00005634146417704262,0.0332794189453125,0.3748,134.42049092849518,6.47786552828175,1.8154296875,0,0,0.5423,92.90208371749954,2.2385248017702377,0.90771484375,0.00796070540396996,0.2975025177001953,0.5812,86.68410185822437,8.575030970406056,2.6279296875,0.00004319397414219325,0.02675628662109375
79,3.8943,12.937061859641014,0.5224784942094857,1.8154296875,0,0,3.2092,15.698865760937306,0.3170086002742116,0.90771484375,0.02577826403047499,0.540088415145874,2.8792,17.49819394276188,0.39993331480966937,0.97314453125,0.000055054058668250506,0.0289306640625,0.4513,111.6348327055174,5.37980057611345,1.8154296875,0,0,0.4762,105.79756404871902,2.549248215035699,0.90771484375,0.00759926676087493,0.3775205612182617,0.5829,86.43129181677818,8.550022302281695,2.6279296875,0.000042393060643733754,0.026065826416015625
80,4.4544,11.310344827586206,0.4567816091954023,1.8154296875,0,0,2.9984,16.802561366061898,0.3392956243329776,0.90771484375,0.02128558536914718,0.5713691711425781,2.9183999999999997,17.263157894736842,0.39456140350877195,0.97314453125,0.000054832848723430965,0.03539562225341797,0.4522,111.4126492702344,5.369093321539142,1.8154296875,0,0,0.4112,122.52140077821012,2.952217898832685,0.90771484375,0.00653595623872783,0.2932262420654297,0.6453,78.07345420734542,7.723241902990857,2.6279296875,0.00004376246620975337,0.030295372009277344
